support	itemsets	tiles	is_maximal	is_closed	is_generator
0.5410307454103075	frozenset({'age_middle-aged'})	0.5410307454103075	False	False	True
0.3326697633266976	frozenset({'age_senior'})	0.3326697633266976	False	False	True
0.32625525326255256	frozenset({'job_manual-labor'})	0.32625525326255256	False	False	True
0.48993585489935854	frozenset({'job_white-collar'})	0.48993585489935854	False	False	True
0.6186684361866843	frozenset({'marital_married'})	0.6186684361866843	False	False	True
0.26454324264543244	frozenset({'marital_single'})	0.26454324264543244	False	False	True
0.5100641451006415	frozenset({'education_secondary'})	0.5100641451006415	False	False	True
0.298606502986065	frozenset({'education_tertiary'})	0.298606502986065	False	False	True
0.9831895598318956	frozenset({'credit_no'})	0.9831895598318956	False	False	True
0.8506967485069675	frozenset({'balance_low'})	0.8506967485069675	False	False	True
0.43397478433974784	frozenset({'housing_no'})	0.43397478433974784	False	False	True
0.5660252156602521	frozenset({'housing_yes'})	0.5660252156602521	False	False	True
0.8471577084715771	frozenset({'loan_no'})	0.8471577084715771	False	False	True
0.8847600088476001	frozenset({'subscribed_term_d_no'})	0.8847600088476001	False	False	True
0.2955098429550984	frozenset({'age_middle-aged', 'job_white-collar'})	0.5910196859101968	False	False	True
0.3236009732360097	frozenset({'age_middle-aged', 'marital_married'})	0.6472019464720195	False	False	True
0.2817960628179606	frozenset({'education_secondary', 'age_middle-aged'})	0.5635921256359212	False	False	True
0.5326255253262553	frozenset({'credit_no', 'age_middle-aged'})	1.0652510506525106	False	False	True
0.45808449458084494	frozenset({'age_middle-aged', 'balance_low'})	0.9161689891616899	False	False	True
0.3459411634594116	frozenset({'housing_yes', 'age_middle-aged'})	0.6918823269188232	False	False	True
0.45874806458748063	frozenset({'loan_no', 'age_middle-aged'})	0.9174961291749613	False	False	True
0.4877239548772396	frozenset({'subscribed_term_d_no', 'age_middle-aged'})	0.9754479097544791	False	False	True
0.25127184251271845	frozenset({'age_senior', 'marital_married'})	0.5025436850254369	True	True	True
0.3266976332669763	frozenset({'credit_no', 'age_senior'})	0.6533952665339526	False	False	True
