antecedents	consequents	antecedent support	consequent support	support	confidence	lift	representativity	leverage	conviction	zhangs_metric	jaccard	certainty	kulczynski
frozenset({'age_adult'})	frozenset({'credit_no'})	0.1066135810661358	0.9831895598318956	0.1041804910418049	0.9771784232365146	0.9938860858160365	1.0	-0.0006408687987112666	0.7366029237296682	-0.006838537631534335	0.10570017953321366	-0.3575835335225984	0.5415700890085835
frozenset({'age_middle-aged'})	frozenset({'credit_no'})	0.5410307454103075	0.9831895598318956	0.5326255253262553	0.9844644317252658	1.0012966694780487	1.0	0.00068974489077267	1.0820614908206165	0.002821518632670102	0.5371403078295783	0.07583810302534898	0.7630983575949164
frozenset({'age_middle-aged'})	frozenset({'balance_low'})	0.5410307454103075	0.8506967485069675	0.45808449458084494	0.8466884709730171	0.9952882416196075	1.0	-0.002168601382004587	0.9738553417385529	-0.010209252242811192	0.4906420279554607	-0.02684655219405883	0.6925850051172937
frozenset({'age_middle-aged'})	frozenset({'loan_no'})	0.5410307454103075	0.8471577084715771	0.45874806458748063	0.847914963205233	1.000893876932339	1.0	0.00040969809301527604	1.0049791534368877	0.001945835414947717	0.49357448833888623	0.0049544842993604465	0.6947146617592744
frozenset({'age_middle-aged'})	frozenset({'subscribed_term_d_no'})	0.5410307454103075	0.8847600088476001	0.4877239548772396	0.901471790678659	1.0188884914145544	1.0	0.00904158778119224	1.1696141840612868	0.0403912247629975	0.5199245460976185	0.14501720855703915	0.7263608953393295
frozenset({'age_senior'})	frozenset({'marital_married'})	0.3326697633266976	0.6186684361866843	0.25127184251271845	0.7553191489361704	1.2208787530713001	1.0	0.04545956026879605	1.5584855216718128	0.2711069199419256	0.35892575039494473	0.358351434072173	0.5807342973854968
frozenset({'age_senior'})	frozenset({'credit_no'})	0.3326697633266976	0.9831895598318956	0.3266976332669763	0.9820478723404256	0.9988387920924778	1.0	-0.0003798049075803833	0.9364037782529284	-0.0017390731633881297	0.33027728085867614	-0.06791538353863187	0.6571656684536773
frozenset({'age_senior'})	frozenset({'balance_low'})	0.3326697633266976	0.8506967485069675	0.2840079628400796	0.8537234042553191	1.0035578550801605	1.0	0.0010068768514755466	1.0206913192978218	0.005312574538673425	0.3157894736842105	0.02027186761229267	0.5937883791947423
frozenset({'age_senior'})	frozenset({'loan_no'})	0.3326697633266976	0.8471577084715771	0.27715107277151074	0.8331117021276596	0.9834198447308483	1.0	-0.004672681606116336	0.9158358823057692	-0.024641829523031088	0.30703259005145805	-0.09189868984204205	0.5801328745625243
frozenset({'age_senior'})	frozenset({'subscribed_term_d_no'})	0.3326697633266976	0.8847600088476001	0.294182702941827	0.8843085106382979	0.9994896941489362	1.0	-0.00015019980243097253	0.99609739478856	-0.0007645031476610486	0.31863919501677046	-0.003917895209703287	0.6084042553191489
frozenset({'job_manual-labor'})	frozenset({'credit_no'})	0.32625525326255256	0.9831895598318956	0.32116788321167883	0.9844067796610169	1.001238031686717	1.0	0.00039712436362615566	1.0780608368675588	0.0018352660491380455	0.32497761862130703	0.07240856378233199	0.6555329736325332
frozenset({'job_manual-labor'})	frozenset({'balance_low'})	0.32625525326255256	0.8506967485069675	0.2749391727493917	0.8427118644067796	0.9906137126841005	1.0	-0.002605110384378939	0.9492340342768224	-0.013868482910852702	0.3048062775870525	-0.0534809792843699	0.5829523960619442
frozenset({'job_manual-labor'})	frozenset({'loan_no'})	0.32625525326255256	0.8471577084715771	0.2725060827250608	0.8352542372881355	0.9859489312740628	1.0	-0.0038835700056572553	0.9277464197712908	-0.020714239114834387	0.3024797446599558	-0.0778807427211859	0.578462627782449
frozenset({'job_manual-labor'})	frozenset({'subscribed_term_d_no'})	0.32625525326255256	0.8847600088476001	0.29949126299491263	0.9179661016949152	1.037531186440678	1.0	0.010833662231760632	1.4047850161139652	0.05369028902956241	0.3285610288764863	0.2881473047268938	0.6282330508474576
frozenset({'education_tertiary'})	frozenset({'job_white-collar'})	0.298606502986065	0.48993585489935854	0.23202831232028312	0.7770370370370371	1.5859974918485078	1.0	0.08573028000129751	2.287663109255369	0.526782726802929	0.4169316375198728	0.5628726992387011	0.6253131009112951
frozenset({'job_white-collar'})	frozenset({'credit_no'})	0.48993585489935854	0.9831895598318956	0.48219420482194203	0.9841986455981941	1.001026338976251	1.0	0.0004943872975782249	1.063860713495751	0.0020101132267637614	0.4866071428571428	0.060027325650470045	0.7373186703806494
frozenset({'job_white-collar'})	frozenset({'balance_low'})	0.48993585489935854	0.8506967485069675	0.41716434417164344	0.8514672686230249	1.000905751805693	1.0	0.0003775054317777249	1.0051875442464047	0.0017741536440969458	0.4517365269461078	0.005160772510659894	0.6709234419038161
frozenset({'job_white-collar'})	frozenset({'loan_no'})	0.48993585489935854	0.8471577084715771	0.41694315416943156	0.8510158013544019	1.0045541613376634	1.0	0.0018902180348278619	1.0258959870771422	0.008888127155316203	0.45312500000000006	0.025242312479379005	0.6715914515910391
frozenset({'job_white-collar'})	frozenset({'subscribed_term_d_no'})	0.48993585489935854	0.8847600088476001	0.42977217429772174	0.8772009029345372	0.9914563205417607	1.0	-0.0037034770177912235	0.9384433103035507	-0.016613863798228955	0.45482209737827717	-0.06559446800951474	0.6814754514672686
frozenset({'marital_divorced'})	frozenset({'credit_no'})	0.11678832116788321	0.9831895598318956	0.11280690112806901	0.9659090909090909	0.9824240719910011	1.0	-0.0020181569544881345	0.49310624493106286	-0.01985387547649297	0.11427291059825229	-1.0279605263157876	0.5403223744759178
